Land5?;DeutschLand5;Italien;Frankreich;RussLand5;1
Hauptstadt5?;Berlin;Rom;Paris;Moskau;2
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;3
Hauptstadt5?;Berlin;Rom;Paris;Moskau;4
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;5
Hauptstadt5?;Berlin;Rom;Paris;Moskau;6
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;7
Hauptstadt5?;Berlin;Rom;Paris;Moskau;8
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;9
Hauptstadt5?;Berlin;Rom;Paris;Moskau;10
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;11
Hauptstadt5?;Berlin;Rom;Paris;Moskau;12
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;13
Hauptstadt5?;Berlin;Rom;Paris;Moskau;14
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;15
Hauptstadt5?;Berlin;Rom;Paris;Moskau;16
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;17
Hauptstadt5?;Berlin;Rom;Paris;Moskau;18
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;19
Hauptstadt5?;Berlin;Rom;Paris;Moskau;20
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;21
Hauptstadt5?;Berlin;Rom;Paris;Moskau;22
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;23
Hauptstadt5?;Berlin;Rom;Paris;Moskau;24
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;25
Hauptstadt5?;Berlin;Rom;Paris;Moskau;26
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;27
Hauptstadt5?;Berlin;Rom;Paris;Moskau;28
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;29
Hauptstadt5?;Berlin;Rom;Paris;Moskau;30
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;31
Hauptstadt5?;Berlin;Rom;Paris;Moskau;32
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;33
Hauptstadt5?;Berlin;Rom;Paris;Moskau;34
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;35
Hauptstadt5?;Berlin;Rom;Paris;Moskau;36
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;37
Hauptstadt5?;Berlin;Rom;Paris;Moskau;38
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;39
Hauptstadt5?;Berlin;Rom;Paris;Moskau;40
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;41
Hauptstadt5?;Berlin;Rom;Paris;Moskau;42
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;43
Hauptstadt5?;Berlin;Rom;Paris;Moskau;44
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;45
Hauptstadt5?;Berlin;Rom;Paris;Moskau;46
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;47
Hauptstadt5?;Berlin;Rom;Paris;Moskau;48
Land5?;DeutschLand5;Italien;Frankreich;RussLand5;49
Hauptstadt5?;Berlin;Rom;Paris;Moskau;50
