Wann wurde Johann Sebastian Bach in Leipzig Kantor in der Thomaskirche?;1723;1732;1717;1746;1
Wo wurde Ludwig van Beethoven geboren?;Bonn;Köln;Dortmund;Kassel;1
Wie alt wurde Katharina von Bora?;35 Jahre;53 Jahre;69 Jahre;47 Jahre;2
Was nagelte Martin Luther 1517 an das Tor der Schlosskirche zu Wittenberg?;95 Prothesen;95 Diktate;95 Kindernamen;95 Thesen;4
In welcher Maschinenfabrik hat Rudolf Diesel 1893 seinen Motor entwickelt?;BMW;Porsche;M.A.N.;Opel;3
"“Ich habe keine besondere Begabung, ich bin nur leidenschaftlich neugierig."" ?";Isaac Newton;Albert Einstein;Niels Bohr;Christian Doppler;2
Wann hat Wilhelm Conrad Röntgen seine eigene Hand durchleuchtet?;1900;1873;1904;1895;4
Wo wurde Friedrich II von Preußen 1712 geboren?;Berlin;Breslau;Gleiwitz;Cottbus;1
Weswegen zog Johann Wolfgang von Goethe nach Weimar?;Wegen einer Frau;Wegen der idyllischen Umgebung;Wegen eines Ministerpostens;Wegen eines Theaters;3
Wen lernte Heinrich Heine neben seiner Frau in Paris kennen?;Jochen Buse;seinen Onkel;Karl Marx;Napoleon;3
Wie viel PS hatte Daimlers erster Motor, der 1885 in Serie ging?;1 PS;0,5 PS;5 PS;2,5 PS;2
Immanuel Kant (geboren in Königsburg ,1724) war Professor für?;Metaphysik;Quantenphysik;Astrophysik;Biophysik;1
In welchem Alter erhielt Dietrich Bonhoeffer seinen Doktortitel in Theologie?;24 Jahre;19 Jahre;32 Jahre;21 Jahre;4
Was war eine der wichtigsten Schriften von Friedrich Nietzsche?;„Wer kämpft, verliert“;„Der Glaube unser“;„Der Wille zur Macht“;„Alles hat ein Ende“;3
Wen lehrte Max Planck an der Universität Berlin im Fach Physik?;Albert Einstein;Karl Marx;Isaac Newton;Sheldon Cooper;1
Wie hieß Schillers letztes Werk, bevor er 1805 starb?;Wilhelm Toll;Wilhelm Tell;Wilhelm Tall;Wilhelm Troll;2
Wie hieß der Gründer der 1877 gegründeten Firma „Siemens“ mit Vornamen?;Hans;Wilhelm Tell;Gustav;Werner;4
Womit hat sich Johannes Kepler zu seinen Lebzeiten befasst?;Physik;Theologie;Mathematik;Astronomie;4
Welches ist eines der bekanntesten Werke der Gebrüder Grimm?;Der goldene Vogel;Das fliegende Klassenzimmer;Hans im Glück;Spongebob;3
Wie lautet der eigentliche Name von Adolf Hitler?;Schicklgruber;Hitler;Müller;Kitzinger;1
Welcher Politiker war der erste Bundeskanzler nach dem 2. WK?;Angela Merkel;Konrad Adenauer;Ludwig Erhard;Helmut Kohl;2
In welchem Jahr wurde Sigmund Freud geboren?;1865;1872;1856;1849;3
Unter welchem Namen war Sophie Scholl noch bekannt?;Schwarze Witwe;Nathan der Weise;Rote Rose;Weiße Rose;4
1772 hat Mozart eine Anstellung in Salzburg bekommen. Welche war es?;Senator;Hofnarr;Konzertmeister;Dichter für Königshaus;3
Wo wurde Eduard Mörike am 8.9.1804 geboren?;Frankfurt am Main;Hamburg;Stuttgart;Ludwigsburg;4
Richard Wagner wurde in Leipzig geboren. Wofür war er bekannt?;Lyrik;Historik;Komponist;Weltreisender;2
Welches Motto verfolgt Raiffeisen zu Lebzeiten?;„Gemeinsam sind wir stark“;„Mir doch alles egal“;„Alles fügt sich“;„Alles wird gut“;1
Welches Studium schloss Wilhelm Busch ab?;Kunststudium;Maschinenbau;Theologie;Medizin;1
Mit wem war Katharina von Bora verheiratet?;Joschka Fischer;Martin Luther;August der Starke;Kaiser Wilhelm;2
Welche Krankheit hat Ludwig van Beethoven geprägt?;Beinamputation;Verlust des Gehörs;Stimmverlust;Blindheit;2
Was hat Nikolaus Kopernikus entdeckt?;Die Sonne;Die Milchstraße;Die Erdbewegung;Eine Supererde;3
Wodurch starb Ludwig van Beethoven?;Durch einen Blitzschlag;Altersschwäche;Herzversagen;Einsamkeit;1
