Aus wie vielen Bundesstaaten bestehen die Vereinigten Staaten von Amerika?;48;51;50;52;3
Wie lautet die Bundeshauptstadt Brandenburgs?;Berlin;Magdeburg;Potsdam;Wittenberg;3
Wo befindet sich die Beringstraße?;in einem Stadtteil Dortmunds;Zwischen Alaska und Russland;in Mittelamerika;Zwischen Spanien und Marokko;2
Wie lautet die Hauptstadt Vietnams?;Seoul;Hanoi;Pjöngjang;Busan;2
Welche Stadt befindet sich nördlicher?;London;Berlin;Warschau;Amsterdam;2
Wie lang ist der Durchmesser der Erde?;ca. 12.700 km;ca. 9.800 km;ca. 14.000 km;ca. 40.000 km;1
Wie lautet die Hauptstadt Südafrikas (Regierungssitz)?;Johannesburg;Pretoria;Kapstadt;Bloemfontein;2
Welcher ist der längste Fluss der Erde?;Nil;Mississippi;Wolga;Amazonas;1
Wo befindet sich die Datumsgrenze?;Hawaii;Samoa;Indonesien;Philippinen;2
Welcher ist der höchste Berg Afrikas?;Kilimandscharo;Batian;K2;Mount Rushmore;1
Welches ist das längste Gebirge der Erde?;Rocky Mountains;Himalaya;Cordillera de los Andes;Kaukasus;3
Wie heißt der höchste Berg in Europa?;Mont Blanc;Zugspitze;Inselsberg;Zumsteinspitze;1
Welche ist nach Landfläche das zweitgrößte Land der Erde?;USA;Russland;China;Kanada;4
Wie lautet die Hauptstadt von Madagaskar?;Victoria;Antananarivo;Malé;Tulear;2
Wie lautet die Hauptstadt der Hawaiianischen Inselkette?;Ohau;Honolulu;Pearl Harbor;Maui;2
Wie lautet das heutige Stalingrad?;Wolgograd;Stalingrad;Kaliningrad;Kremelgrad;1
Wie lautet die Hauptstadt von China?;Shanghai;Peking;Hongkong;Taipeh;2
In welchem Bundesstaat befindet sich der Nationalpark Death Valley?;Kalifornien;Arizona;Nevada;Texas;1
Welches ist das höchste Gebäude der Welt?;Burj Khalifa;Shanghai Tower;One World Trade Center;Petronas Towers;1
Wo befinden sich die McDonald Inseln?;Nördlicher Pazifik;Nördlich von Skandinavien;südlicher Indischer Ozean;Westlich vom Panamakanal;3
Was ist die Amtssprache in Namibia?;Englisch;Französisch;Spanisch;Deutsch;1
Was ist die Amtssprache in Brasilien?;Spanisch;Französisch;Englisch;Portugiesisch;4
Zu welchem Staat gehört Grönland?;Russland;Dänemark;Kanada;USA;2
Welche ist die größte Insel der Welt?;Madagaskar;Grönland;Großbritannien;Neuguinea;2
Aus wie vielen Mitgliedsstaaten besteht die Europ. Union (stand Juli 2013)?;26;28;29;24;2
Welches ist das flächenmäßig größte Land der EU?;Frankreich;Großbritannien;Deutschland;Polen;1
Welcher Kanal verbindet das Mittelmeer und das Rote Meer?;Panamakanal;Arabischer Kanal;Suezkanal;Nilkanal;3
Welchen Staat durchläuft der Äquator nicht?;Venezuela;Ecuador;Kolumbien;Brasilien;1
Welcher Fluss fließt durch Paris?;Seine;Deine;Meine;Unsere;1
Welche ist die tiefste Meeressenke und somit auch der tiefste Punkt der Erde?;Japangraben;Philippinengraben;Tongraben;Marianengraben;4
Wo befindet sich der höchste Punkt der Erde (gemessen vom Erdmittelpunkt)?;Mount Everest;K2;Chimborazo;Kilimandscharo;3
Welcher ist der flächenmäßig größte See der Welt?;Victoriasee;Oberer See;Kaspisches Meer;Titicaca-See;3
Zu welcher Stadt gehört die Insel Alcatraz?;Los Angeles;San Francisco;New York City;San Diego;2
Aus wie vielen Inseln besteht die Inselgruppe Hawaii?;2;4;6;8;4
Wie lautet die Hauptstadt Australiens?;Sydney;Brisbane;Canberra;Melbourne;3
Aus wie vielen Mitgliedsstaaten besteht die NATO?;28;32;16;12;1
Was ist der flächenmäßig zweitkleinste Kontinent der Erde?;Afrika;Europa;Australien;Antarktika;2
Welches Land hat die größte Bevölkerungsdichte der Erde?;China;Japan;Monaco;Malta;3
Wo befindet sich das Mausoleum von Halikarnassos?;Griechenland;China;Ägypten;Türkei;4
Wo befindet sich die Golden Gate Bridge?;Washington D.C.;New York;San Francisco;Los Angeles;3
Wie lang ist ungefähr die Chinesische Mauer?;ca. 2.600 Kilometer;ca. 22.000 Kilometer;ca. 8.000 Kilometer;ca. 14.000 Kilometer;2
Welcher Fluss fließt ausschließlich nur in Deutschland?;Donau;Oder;Weser;Saale;4
"Wo befindet sich die Inselgruppe ""Feuerland""?";Nordwestlich von Australien;Südspitze von Südamerika;Östlich von Indien;Zwischen Russland und Alaska;2
Wo befindet sich Machu Picchu?;Peru;Uruguay;Venezuela;Chile;1
Zwischen welchen Staaten verläuft das Riesengebirge?;Deutschland, Tschechische Republik, Polen;Tschechische Republik, Polen;Slowakei, Tschechische Republik;Tschechische Republik, Slowakei, Polen;2
Wo liegt Transsilvanien?;Rumänien;Ungarn;Moldawien;Bulgarien;1
Wie lautet die Hauptstadt von Malta?;Nikosia;Valletta;Malta;Rom;2
Welches ist die flächenmäßig Größte Wüste?;Gobi;Sahara;Grönland;Antarktis;4
Wie lautet die Hauptstadt Kenias?;Adis Abeba;Nairobi;Mogadishu;Mombasa;2
Wo befindet sich Angkor Wat?;Indien;Kambodscha;Thailand;Bangladesch;2
