Welches dieser Getränke enthält die meisten Kalorien je 100ml?;Coca-Cola;Hohes C Orange;Müllermilch Banane;Ur-Krostitzer hell;2
Welche der folgenden Verhütungsmethoden hat den höchsten Pearl-Index?;Pille;Spirale;Kupferkette;Kondom;4
Wie groß ist die Ähnlichkeit der DNS zwischen Fadenwürmen und Menschen?;10 Prozent;20 Prozent;40 Prozent;60 Prozent;3
Wieviel Marktanteil hat Android unter den Smartphones?;Über 90%;80-90%;70-80%;60-70%;2
Wie groß war Robert Wadlow, der größte bekannte Mensch der Geschichte?;242cm;252cm;262cm;272cm;4
Wie hoch war 2013 der Anteil der Internetnutzer in Deutschland?;rund 70%;rund 75%;rund 80%;rund 85%;2
Welche Frucht enthält pro 100g das meiste Vitamin C?;Kiwi;Hagebutte;Zitrone;Sanddorn;2
Wie hoch liegt der Weltrekord im Geschwindigkeitsskifahren?;rund 210km/h;rund 230km/h;rund 250km/h;rund 270km/h;3
Wieviel PS hatte die erste Version des Trabants 601?;18 PS;23 PS;29 PS;34 PS;2
Wie viele Einwohner hatte Leipzig 2013?;500000-525000;526000-550000;551000-575000;576000-600000;2
Wie hoch war 2013 die Wahlbeteiligung an der Bundestagswahl?;51,50%;61,50%;71,50%;81,50%;3
Wie schnell ist der Weltrekord im 100m-Lauf?;9,58s;9,48s;9,45s;9,43s;1
Wie hoch liegt der Weltrekord für den Wirkungsgrad von Solarzellen?;30%;35%;40%;45%;4
Wie hoch lag im Oktober 2014 der Marktanteil für Windows XP?;10%;13%;17%;20%;3
Wie viele Lebensmittel wirft ein Deutscher im Schnitt weg?;10-20%;20-30%;30-50%;50-60%;3
Wie viele Lebensmittel landen jedes Jahr weltweit auf dem Müll?;700Mio Tonnen;900Mio Tonnen;1,1Mia Tonnen;1,3Mia Tonnen;4
Wie viele Lebensmittel wirft ein Deutscher jedes Jahr statistisch gesehen auf den Müll?;86kg;82kg;78kg;74kg;2
Welche Produktionskosten fielen für die HdR-Trilogie an?;190Mio Euro;180Mio Euro;170Mio Euro;160Mio Euro;1
Wieviel Erdöl wurde 2012 in Saudi-Arabien gefördert?;487Mio Tonnen;517Mio Tonnen;547Mio Tonnen;577Mio Tonnen;3
Wie groß war der größte Hund der Welt?;1,12m;1,17m;1,22m;1,27m;1
Wie viele Kinder sterben jährlich an Unterernährung?;2,9Mio;3,1Mio;3,4Mio;3,8Mio;1
Wieviel Prozent der Deutschen verfügen über wenigstens mittelmäßig gute Internetkenntnisse?;31%;38%;45%;52%;2
Wie viele Fahrräder gibt es in deutschen Haushalten?;75,3Mio;73,3Mio;71,3Mio;69,3Mio;3
Wie viele Mobiltelefone gibt es in deutschen Haushalten?;68,8Mio;71,8Mio;74,8Mio;77,8Mio;1
Wie viele Suizidfälle gab es 2012?;9780;9950;9890;9660;3
Welche Höhe können Tannen durch ihr Wachstum maximal erreichen?;50m;60m;70m;80m;3
Wie hoch waren 2012 die Gesundheitsausgaben in Deutschland?;300000Mio Euro;30000Mio Euro;3000Mio Euro;300Mio Euro;2
Was war 2012 die häufigste Todesursache?;Lungen- und Bronchialerkrankung;Durchblutungsstörung des Herzmuskels;Demenz;Schlaganfall;2
Über wieviel Bruttogeldvermögen verfügte 2013 ein deutscher Haushalt im Schnitt?;37800 Euro;40800 Euro;43800 Euro;46800 Euro;4
Wie hoch war 2013 ein deutscher Haushalt im Durchschnitt verschuldet?;27100 Euro;29100 Euro;31100 Euro;33100 Euro;1
Wie alt wurde der älteste Mensch?;116;119;122;125;3
Wie oft müsste man das Brandenburger Tor übereinander stapeln, um die Zugspitze zu überragen?;108;88;68;58;3
Wann hatte Heinrich Göbel die Glühlampe erfunden?;1854;1864;1879;1884;1
Wieviel kostet ein iPhone 6 in der Produktion laut IHS Technology?;rund 150 Euro;rund 200 Euro;rund 250 Euro;rund 300 Euro;2
Wie viele Menschen in Deutschland waren 2013 übergewichtig?;31%;38%;45%;52%;4
Wie hoch war 2009 der Anteil der Raucher in Deutschland?;21,70%;25,70%;29,70%;33,70%;2
Für wie viele Menschen in Leipzig war 2013 das Erwerbseinkommen die Hauptgeldquelle?;52%;58%;62%;64%;2
Wie hoch ist 2014 der Bestand von Kfz in Deutschland?;43Mio;48Mio;53Mio;58Mio;3
Wie hoch war 2009 der Anteil von Debian bei Servern auf Linux-Basis?;47%;42%;38%;35%;1
Wie viele Kinder wurden 2012 lebend geboren?;373544;473544;573544;673544;4
Wieviel Elektrischrott fielen in Deutschland im Schnitt 2012 pro Bürger an?;10,2kg;12,2kg;15,2kg;23,2kg;4
Welche Höhe hat der Eiffelturm?;301m;341m;381m;421m;1
Welche Höhe hat die Reichstagskuppel?;75m;70m;65m;60m;1
Welcher Geldschein wiegt knapp über ein Gramm?;20 Euro;50 Euro;100 Euro;500 Euro;3
Um welchen Faktor passen mehr Daten auf eine Single-Layer-Blu-ray als auf eine SL-DVD?;3mal;4mal;5mal;6mal;3
